date,open,high,low,close,volume,label
2012.11.23,82.352,82.473,82.05,82.398,19714,82.562
2012.11.25,82.328,82.562,82.313,82.548,1658,82.608
2012.11.26,82.549,82.608,81.847,81.863,23570,82.3
2012.11.27,81.862,82.3,81.862,82.078,22140,82.198
2012.11.28,82.075,82.198,81.675,82.147,25696,82.201
2012.11.29,82.145,82.201,81.899,82.13,22426,82.734
2012.11.30,82.127,82.734,82.033,82.411,23885,82.49
2012.12.02,82.373,82.49,82.352,82.463,1441,82.462
2012.12.03,82.462,82.462,81.981,82.137,19790,82.177
2012.12.04,82.138,82.177,81.706,81.825,20922,82.468
2012.12.05,81.824,82.468,81.781,82.425,24238,82.603
2012.12.06,82.427,82.603,82.188,82.435,20197,82.815
2012.12.07,82.433,82.815,82.163,82.42,19004,82.625
2012.12.09,82.505,82.625,82.495,82.55,1687,82.578
2012.12.10,82.551,82.578,82.103,82.35,18499,82.562
2012.12.11,82.352,82.562,82.292,82.517,17806,83.281
2012.12.12,82.515,83.281,82.487,83.21,23494,83.663
2012.12.13,83.209,83.663,83.175,83.66,24716,83.947
2012.12.14,83.658,83.947,83.305,83.5,23057,84.325
2012.12.16,84.325,84.325,83.973,84.139,3475,84.147
2012.12.17,84.14,84.147,83.6,83.91,23649,84.349
2012.12.18,83.909,84.349,83.81,84.347,22083,84.602
2012.12.19,84.344,84.602,83.925,84.222,25087,84.439
2012.12.20,84.224,84.439,83.847,84.417,25295,84.427
2012.12.21,84.419,84.427,83.845,84.219,25827,84.454
2012.12.23,84.363,84.454,84.323,84.408,1418,84.787
2012.12.24,84.41,84.787,84.31,84.78,9514,85.713
2012.12.26,85.275,85.713,85.24,85.666,14832,86.621
2012.12.27,85.678,86.621,85.579,86.483,27226,86.539
2012.12.28,86.484,86.539,85.936,86.071,23596,85.99
2012.12.30,85.8,85.99,85.655,85.957,1785,86.467
2012.12.31,85.958,86.467,85.853,86.45,13968,87.34
2013.01.02,87.227,87.34,86.948,87.271,19379,87.76
2013.01.03,87.265,87.76,86.755,87.703,27186,88.395
2013.01.04,87.7,88.395,87.55,88.127,32285,88.36
2013.01.06,88.105,88.36,88.105,88.2,2147,88.217
2013.01.07,88.198,88.217,87.22,87.253,30642,87.793
2013.01.08,87.252,87.793,86.817,86.903,31391,88.177
2013.01.09,86.907,88.177,86.891,88.108,32183,89.332
2013.01.10,88.106,89.332,87.97,89.292,35557,89.433
2013.01.11,89.288,89.433,88.73,89.2,33920,89.659
2013.01.13,89.285,89.659,89.241,89.49,3094,89.63
2013.01.14,89.487,89.63,89.07,89.442,29481,89.616
2013.01.15,89.44,89.616,88.275,88.745,43587,88.763
2013.01.16,88.747,88.763,87.78,88.652,44503,90.117
2013.01.17,88.657,90.117,88.121,89.806,47305,90.19
2013.01.18,89.804,90.19,89.621,90.031,36590,90.234
2013.01.20,90.075,90.234,90.075,90.167,2032,90.168
2013.01.21,90.168,90.168,89.325,89.616,31469,90.113
2013.01.22,89.617,90.113,88.353,88.508,49627,88.763
2013.01.23,88.507,88.763,88.048,88.568,37822,90.673
2013.01.24,88.57,90.673,88.402,90.533,42596,91.18
2013.01.25,90.531,91.18,90.277,90.913,35631,91.243
2013.01.27,91.03,91.243,91.01,91.173,2014,91.173
2013.01.28,91.171,91.173,90.39,90.43,33163,91.003
2013.01.29,90.432,91.003,90.316,90.769,34624,91.39
2013.01.30,90.77,91.39,90.743,90.997,34748,91.83
2013.01.31,90.991,91.83,90.73,91.7,34852,92.95
2013.02.01,91.701,92.95,91.605,92.855,35569,92.89
2013.02.03,92.767,92.89,92.741,92.748,2198,93.167
2013.02.04,92.747,93.167,91.968,92.15,38380,93.772
2013.02.05,92.147,93.772,92.11,93.57,44421,93.974
2013.02.06,93.567,93.974,93.26,93.422,40091,93.902
2013.02.07,93.421,93.902,93.068,93.599,41331,93.707
2013.02.08,93.597,93.707,92.159,92.742,41269,92.735
2013.02.10,92.725,92.735,92.355,92.533,2325,94.445
2013.02.11,92.534,94.445,92.441,94.178,36829,94.392
2013.02.12,94.176,94.392,92.938,93.306,46715,93.765
2013.02.13,93.31,93.765,92.81,93.221,39387,93.698
2013.02.14,93.223,93.698,92.662,92.94,41109,93.825
2013.02.15,92.933,93.825,92.211,93.522,46372,93.94
2013.02.17,93.67,93.94,93.67,93.75,2533,94.2
2013.02.18,93.751,94.2,93.552,93.597,29730,93.907
2013.02.19,93.598,93.907,93.279,93.695,32242,94.021
2013.02.20,93.694,94.021,93.124,93.663,35805,93.85
2013.02.21,93.658,93.85,92.76,93.137,40211,93.499
2013.02.22,93.138,93.499,92.914,93.427,33828,94.531
2013.02.24,94.53,94.531,94.119,94.22,4172,94.292
2013.02.25,94.217,94.292,90.873,92.35,51108,92.733
2013.02.26,92.352,92.733,91.111,92.098,57341,92.423
2013.02.27,92.097,92.423,91.124,92.311,44709,92.836
2013.02.28,92.307,92.836,91.998,92.57,38419,93.67
2013.03.01,92.569,93.67,92.428,93.563,34750,93.64
2013.03.03,93.64,93.64,93.354,93.543,2518,93.71
2013.03.04,93.533,93.71,93.156,93.396,33236,93.508
2013.03.05,93.398,93.508,92.902,93.275,31987,94.1
2013.03.06,93.276,94.1,92.983,93.918,30715,95.078
2013.03.07,93.917,95.078,93.78,94.885,36774,96.538
2013.03.08,94.883,96.538,94.833,96.04,40380,96.243
2013.03.10,95.975,96.243,95.93,96.176,2762,96.696
2013.03.11,96.177,96.696,95.955,96.623,31917,96.673
2013.03.12,96.621,96.673,95.628,95.825,42796,96.242
2013.03.13,95.811,96.242,95.433,96.009,39238,96.577
2013.03.14,96.008,96.577,95.673,95.932,37971,96.261
2013.03.15,95.933,96.261,95.064,95.265,37501,94.972
2013.03.17,94.365,94.972,94.07,94.883,6838,95.585
2013.03.18,94.885,95.585,94.3,95.347,38663,95.733
2013.03.19,95.352,95.733,94.711,95.05,35637,96.119
2013.03.20,95.047,96.119,94.817,95.925,33203,96.02
2013.03.21,95.924,96.02,94.543,94.907,43604,95.048
2013.03.22,94.906,95.048,94.184,94.446,36671,94.891
2013.03.24,94.395,94.891,94.35,94.835,3338,94.948
2013.03.25,94.833,94.948,93.52,93.93,38779,94.69
2013.03.26,93.932,94.69,93.854,94.619,37656,94.894
2013.03.27,94.62,94.894,94.008,94.307,35414,94.42
2013.03.28,94.309,94.42,93.862,94.167,34120,94.263
2013.03.29,94.165,94.263,93.925,94.201,19020,94.36
2013.03.31,94.265,94.36,94.22,94.258,2062,94.35
2013.04.01,94.26,94.35,93.049,93.173,29745,93.543
2013.04.02,93.169,93.543,92.553,93.334,34565,93.675
2013.04.03,93.326,93.675,92.7,92.85,34285,96.452
2013.04.04,92.84,96.452,92.72,96.41,56188,97.815
2013.04.05,96.413,97.815,95.758,97.55,56532,98.833
2013.04.07,98.195,98.833,98.067,98.775,6998,99.647
2013.04.08,98.777,99.647,98.285,99.318,49105,99.49
2013.04.09,99.32,99.49,98.575,98.963,46303,99.86
2013.04.10,98.968,99.86,98.9,99.671,42994,99.932
2013.04.11,99.67,99.932,99.101,99.621,43814,99.72
2013.04.12,99.622,99.72,98.077,98.355,44212,98.581
2013.04.14,98.2,98.581,98.175,98.43,4281,98.698
2013.04.15,98.426,98.698,95.79,96.793,61796,98.144
2013.04.16,96.783,98.144,96.575,97.604,53789,98.42
2013.04.17,97.605,98.42,97.2,98.053,52662,98.517
2013.04.18,98.052,98.517,97.62,98.205,48634,99.67
2013.04.19,98.201,99.67,98.095,99.505,43877,99.872
2013.04.21,99.8,99.872,99.718,99.801,3432,99.871
2013.04.22,99.8,99.871,98.968,99.183,43924,99.698
2013.04.23,99.17,99.698,98.471,99.642,51156,99.748
2013.04.24,99.636,99.748,99.176,99.415,41655,99.543
2013.04.25,99.411,99.543,98.971,99.325,40236,99.365
2013.04.26,99.31,99.365,97.545,98.03,50510,97.99
2013.04.28,97.931,97.99,97.669,97.85,2991,98.188
2013.04.29,97.853,98.188,97.338,97.871,34297,98.112
2013.04.30,97.87,98.112,96.995,97.258,38285,97.663
2013.05.01,97.252,97.663,97.013,97.126,33151,98.379
2013.05.02,97.12,98.379,97.083,97.93,37937,99.254
2013.05.03,97.923,99.254,97.923,98.978,30470,99.193
2013.05.05,99.171,99.193,99.088,99.105,2110,99.439
2013.05.06,99.106,99.439,99.046,99.352,22969,99.368
2013.05.07,99.35,99.368,98.629,98.777,36257,99.137
2013.05.08,98.776,99.137,98.57,98.87,32403,100.84
2013.05.09,98.88,100.84,98.634,100.813,42899,101.968
2013.05.10,100.816,101.968,100.722,101.601,48637,102.139
2013.05.12,101.876,102.139,101.736,101.927,4115,102.03
2013.05.13,101.926,102.03,101.503,101.664,37557,102.419
2013.05.14,101.66,102.419,101.248,102.176,43734,102.75
2013.05.15,102.175,102.75,101.839,102.23,44888,102.67
2013.05.16,102.205,102.67,101.818,102.124,45453,103.294
2013.05.17,102.115,103.294,102.093,103.197,38482,102.932
2013.05.19,102.745,102.932,101.956,102.715,5700,102.89
2013.05.20,102.709,102.89,102.061,102.143,36661,102.87
2013.05.21,102.142,102.87,102.14,102.42,38085,103.721
2013.05.22,102.41,103.721,102.334,103.171,51751,103.555
2013.05.23,103.17,103.555,100.819,102.409,72142,102.571
2013.05.24,102.413,102.571,100.653,101.29,60373,101.284
2013.05.26,101.035,101.284,100.945,101.09,7459,101.223
2013.05.27,101.091,101.223,100.731,101.105,54936,102.505
2013.05.28,101.103,102.505,101.101,102.505,93047,102.512
2013.05.29,102.506,102.512,100.7,100.933,107295,101.789
2013.05.30,100.937,101.789,100.454,101.098,117495,101.27
2013.05.31,101.1,101.27,100.209,100.468,100068,100.627
2013.06.02,100.435,100.627,100.37,100.477,5945,100.709
2013.06.03,100.476,100.709,98.849,99.723,94788,100.403
2013.06.04,99.722,100.403,99.319,100.259,85576,100.45
2013.06.05,100.26,100.45,98.847,99.003,100845,99.454
2013.06.06,99.002,99.454,95.889,97.349,126009,97.771
2013.06.07,97.352,97.771,94.978,97.545,165182,98.41
2013.06.09,97.84,98.41,97.718,98.352,4803,99.269
2013.06.10,98.349,99.269,97.697,98.884,52831,98.97
2013.06.11,98.889,98.97,95.585,96.245,75012,97.005
2013.06.12,96.244,97.005,95.127,95.472,59418,95.793
2013.06.13,95.473,95.793,93.778,95.568,72753,95.547
2013.06.14,95.547,95.547,93.972,94.294,60018,94.415
2013.06.16,94.167,94.415,94.102,94.32,3287,95.2
2013.06.17,94.319,95.2,94.225,94.558,45347,95.75
2013.06.18,94.56,95.75,94.522,95.573,42418,97.015
2013.06.19,95.575,97.015,94.82,96.57,48919,98.271
2013.06.20,96.568,98.271,96.192,97,68107,98.119
2013.06.21,97.003,98.119,96.906,97.885,51141,98.495
2013.06.23,97.91,98.495,97.877,98.378,4370,98.687
2013.06.24,98.377,98.687,97.209,97.61,58189,98.22
2013.06.25,97.6,98.22,96.95,98.148,52739,98.155
2013.06.26,98.147,98.155,97.226,97.635,45832,98.598
2013.06.27,97.631,98.598,97.551,98.488,41649,99.436
2013.06.28,98.487,99.436,98.45,99.135,42132,99.526
2013.06.30,99.225,99.526,99.19,99.438,3317,99.848
2013.07.01,99.436,99.848,99.165,99.605,34559,100.84
2013.07.02,99.623,100.84,99.495,100.75,38519,100.81
2013.07.03,100.749,100.81,99.246,99.8,47859,100.32
2013.07.04,99.797,100.32,99.48,100.23,33730,101.212
2013.07.05,100.233,101.212,99.877,101.186,39230,101.52
2013.07.07,101.25,101.52,101.214,101.474,3706,101.476
2013.07.08,101.476,101.476,100.756,100.928,35787,101.285
2013.07.09,100.927,101.285,100.818,101.168,36851,101.178
2013.07.10,101.169,101.178,98.254,99.001,55802,99.611
2013.07.11,99,99.611,98.258,98.814,56703,99.68
2013.07.12,98.821,99.68,98.663,99.2,36767,99.371
2013.07.14,99.35,99.371,99.149,99.186,2065,100.469
2013.07.15,99.187,100.469,99.063,99.941,31701,100.017
2013.07.16,99.94,100.017,98.88,99.103,37689,99.93
2013.07.17,99.104,99.93,99.028,99.565,40690,100.64
2013.07.18,99.553,100.64,99.453,100.55,41453,100.851
2013.07.19,100.548,100.851,99.795,100.635,41924,100.606
2013.07.21,100.43,100.606,100.167,100.367,4460,100.365
